NTAcode,name
BK72,BK72 Williamsburg
BK73,BK73 North Side-South Side
BK76,BK76 Greenpoint
BK90,BK90 East Williamsburg
BK09,BK09 Brooklyn Heights-Cobble Hill
BK38,BK38 DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
BK68,BK68 Fort Greene
BK69,BK69 Clinton Hill
BK35,BK35 Stuyvesant Heights
BK75,BK75 Bedford
BK77,BK77 Bushwick North
BK78,BK78 Bushwick South
BK99,BK99 park-cemetery-etc-Brooklyn
BK82,BK82 East New York
BK83,BK83 Cypress Hills-City Line
BK93,BK93 Starrett City
BK33,BK33 Carroll Gardens-Columbia Street-Red Hook
BK37,BK37 Park Slope-Gowanus
BK32,BK32 Sunset Park West
BK34,BK34 Sunset Park East
BK40,BK40 Windsor Terrace
BK61,BK61 Crown Heights North
BK64,BK64 Prospect Heights
BK60,BK60 Prospect Lefferts Gardens-Wingate
BK63,BK63 Crown Heights South
BK30,BK30 Dyker Heights
BK31,BK31 Bay Ridge
BK27,BK27 Bath Beach
BK28,BK28 Bensonhurst West
BK29,BK29 Bensonhurst East
BK41,BK41 Kensington-Ocean Parkway
BK46,BK46 Ocean Parkway South
BK88,BK88 Borough Park
BK19,BK19 Brighton Beach
BK21,BK21 Seagate-Coney Island
BK23,BK23 West Brighton
BK26,BK26 Gravesend
BK42,BK42 Flatbush
BK43,BK43 Midwood
BK17,BK17 Sheepshead Bay-Gerritsen Bch-Manhattan Bch
BK25,BK25 Homecrest
BK44,BK44 Madison
BK79,BK79 Ocean Hill
BK81,BK81 Brownsville
BK85,BK85 East New York (Pennsylvania Ave)
BK91,BK91 East Flatbush-Farragut
BK95,BK95 Erasmus
BK96,BK96 Rugby-Remsen Village
BK45,BK45 Georgetown-Marine Park-Bergen Beach-Mill Basin
BK50,BK50 Canarsie
BK58,BK58 Flatlands
BX27,BX27 Hunts Point
BX33,BX33 Longwood
BX34,BX34 Melrose South-Mott Haven North
BX39,BX39 Mott Haven-Port Morris
BX98,BX98 Rikers Island
BX01,BX01 Claremont-Bathgate
BX06,BX06 Belmont
BX17,BX17 East Tremont
BX35,BX35 Morrisania-Melrose
BX75,BX75 Crotona Park East
BX14,BX14 East Concourse-Concourse Village
BX26,BX26 Highbridge
BX63,BX63 West Concourse
BX36,BX36 University Heights-Morris Heights
BX40,BX40 Fordham South
BX41,BX41 Mount Hope
BX05,BX05 Bedford Park-Fordham North
BX30,BX30 Kingsbridge Heights
BX43,BX43 Norwood
BX22,BX22 North Riverdale-Fieldston-Riverdale
BX28,BX28 Van Cortlandt Village
BX29,BX29 Spuyten Duyvil-Kingsbridge
BX08,BX08 West Farms-Bronx River
BX09,BX09 Soundview-Castle Hill-Clason Point-Harding Park
BX46,BX46 Parkchester
BX55,BX55 Soundview-Bruckner
BX59,BX59 Westchester-Unionport
BX10,BX10 Pelham Bay-Country Club-City Island
BX13,BX13 Co-op City
BX52,BX52 Schuylerville-Throgs Neck-Edgewater Park
BX07,BX07 Bronxdale
BX31,BX31 Allerton-Pelham Gardens
BX37,BX37 Van Nest-Morris Park-Westchester Square
BX49,BX49 Pelham Parkway
BX03,BX03 Eastchester-Edenwald-Baychester
BX44,BX44 Williamsbridge-Olinville
BX62,BX62 Woodlawn-Wakefield
BX99,BX99 park-cemetery-etc-Bronx
MN23,MN23 West Village
MN24,MN24 SoHo-TriBeCa-Civic Center-Little Italy
MN25,MN25 Battery Park City-Lower Manhattan
MN22,MN22 East Village
MN27,MN27 Chinatown
MN28,MN28 Lower East Side
MN13,MN13 Hudson Yards-Chelsea-Flat Iron-Union Square
MN15,MN15 Clinton
MN17,MN17 Midtown-Midtown South
MN19,MN19 Turtle Bay-East Midtown
MN20,MN20 Murray Hill-Kips Bay
MN21,MN21 Gramercy
MN50,MN50 Stuyvesant Town-Cooper Village
MN12,MN12 Upper West Side
MN14,MN14 Lincoln Square
MN31,MN31 Lenox Hill-Roosevelt Island
MN32,MN32 Yorkville
MN40,MN40 Upper East Side-Carnegie Hill
MN04,MN04 Hamilton Heights
MN06,MN06 Manhattanville
MN09,MN09 Morningside Heights
MN03,MN03 Central Harlem North-Polo Grounds
MN11,MN11 Central Harlem South
